"STAR Table Name: VCA_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT
ABDOMINAL_WALL	Amount of Tissue Loss - Square Centimeters	TRR	2015-09-01 00:00:00		Clinical Information: Pre-transplant - Amount of Tissue Loss	NUM		
ABO	ABO	WL	2014-07-03 00:00:00		CLINICAL INFORMATION	CHAR(3)	ABO	
ABO_DON	DONOR BLOOD TYPE	DDR/LDR	2015-09-01 00:00:00		DONOR INFORMATION	CHAR(200)	ABO	
ABO_MAT	Donor-Recipient ABO Match Level	CALCULATED				CHAR(1)	ABOMAT	
ADMISSION_DATE	RECIPIENT DATE OF ADMISSION TO TX CENTER	TRR	2015-09-01 00:00:00		PATIENT STATUS	NUM		
ADMIT_DATE_DON	DONOR ADMIT DATE	DDR	2015-09-01 00:00:00		DONOR INFORMATION	NUM		
AGE	Recipient Age (yrs)	TRR-CALCULATED	2015-09-01 00:00:00		RECIPIENT INFORMATION	NUM		
AGE_DON	DONOR AGE (YRS)	DDR/LDR-CALCULATED	2015-09-01 00:00:00		DONOR INFORMATION	NUM		
AMIS	A Locus Mismatch Level	CALCULATED				NUM		
ARGININE_DON	DECEASED DONOR-WAS DONOR GIVEN ARGININE VASOPRESSIN WITHIN 24 HRS PRE CROSS CLAMP?	DDR	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
BMI_DON_CALC	Donor BMI - Pre/At Donation	CALCULATED				NUM		
BMI_RECIP	Recipient BMI	CALCULATED				NUM		
BMI_TCR	BMI AT LISTING	CALCULATED			CLINICAL INFORMATION AT LISTING	NUM		
BMIS	B Locus Mismatch Level	CALCULATED				NUM		
BODILY_PAIN_SCORE	Bodily Pain (BP) Score (0-100 Scale)	TRR	2015-09-01 00:00:00		Functional Status: Pre-transplant - SF-36 Score - Physical Health	NUM		
BODY_PART	Desired Organ Body Parts at Removal/Current Time					NUM	VCA_BODY_PART	
