"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_personal_medical_history_of_allergies_infect_record_id","px161601_phenx_personal_medical_history_of_allergies_infect",,"text","Record ID",,"PX161601",,,,,,,,,,"",
"birth_details","px161601_phenx_personal_medical_history_of_allergies_infect",,"descriptive","Section A.  
Birth Details:",,"PX161601",,,,,,,,,,"",""
"birth_hospital","px161601_phenx_personal_medical_history_of_allergies_infect",,"text","Birth Hospital",,"PX161601",,,,,,,,,,"",""
"birth_weight","px161601_phenx_personal_medical_history_of_allergies_infect",,"text","Birth Weight",,"PX161601","number",,,,,,,,,"",""
"birth_weight_units","px161601_phenx_personal_medical_history_of_allergies_infect",,"text","Birth Weight - Specify Units",,"PX161601",,,,,,,,,,"",""
"birth_length","px161601_phenx_personal_medical_history_of_allergies_infect",,"text","Birth Length",,"PX161601","number",,,,,,,,,"",""
"birth_length_units","px161601_phenx_personal_medical_history_of_allergies_infect",,"text","Birth Length - Specify units",,"PX161601",,,,,,,,,,"",""
"birth_doctor","px161601_phenx_personal_medical_history_of_allergies_infect",,"text","Birth Doctor",,"PX161601",,,,,,,,,,"",""
"birth_prenatal_problem","px161601_phenx_personal_medical_history_of_allergies_infect",,"text","Birth Prenatal Problem",,"PX161601",,,,,,,,,,"",""
"birth_apgar_score","px161601_phenx_personal_medical_history_of_allergies_infect",,"text","Birth Apgar Score",,"PX161601","number",,,,,,,,,"",""
"section_b_health_log","px161601_phenx_personal_medical_history_of_allergies_infect",,"descriptive","Section B.  
Health Log:",,"PX161601",,,,,,,,,,"",""
"health_problem1_type","px161601_phenx_personal_medical_history_of_allergies_infect",,"text","Health Problem 1 - Type",,"PX161601",,,,,,,,,,"",""
