"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_expectancies_tobacco_record_id","px520407_phenx_expectancies_tobacco",,"text","Record ID",,"PX520407",,,,,,,,,,"",
"expectancies_tobacco_scale","px520407_phenx_expectancies_tobacco",,"descriptive",,,"PX520407",,,,,,,,,,"",""
"expectancies_tobacco_desc","px520407_phenx_expectancies_tobacco",,"descriptive","Rate how likely or unlikely you believe the following consequence has on you when you smoke:","0,Completely Unlikely|1,Extremely Unlikely|2,Very Unlikely|3,Somewhat Unlikely|4,A Little Unlikely|5,A Little Likely|6,Somewhat Likely|7,Very Likely|8,Extremely Likely|9,Completely Likely","PX520407",,,,,,,,,,"",""
"expectancies_tobacco_throat_burns","px520407_phenx_expectancies_tobacco",,"radio","My throat burns after smoking.","0,Completely Unlikely|1,Extremely Unlikely|2,Very Unlikely|3,Somewhat Unlikely|4,A Little Unlikely|5,A Little Likely|6,Somewhat Likely|7,Very Likely|8,Extremely Likely|9,Completely Likely","PX520407",,,,,,,,,,"",""
"expectancies_tobacco_taste_sensations","px520407_phenx_expectancies_tobacco",,"radio","I enjoy the taste sensations while smoking.","0,Completely Unlikely|1,Extremely Unlikely|2,Very Unlikely|3,Somewhat Unlikely|4,A Little Unlikely|5,A Little Likely|6,Somewhat Likely|7,Very Likely|8,Extremely Likely|9,Completely Likely","PX520407",,,,,,,,,,"",""
"expectancies_tobacco_nicotine_fits","px520407_phenx_expectancies_tobacco",,"radio","Nicotine ""fits"" can be controlled by smoking.","0,Completely Unlikely|1,Extremely Unlikely|2,Very Unlikely|3,Somewhat Unlikely|4,A Little Unlikely|5,A Little Likely|6,Somewhat Likely|7,Very Likely|8,Extremely Likely|9,Completely Likely","PX520407",,,,,,,,,,"",""
"expectancies_tobacco_calm_anger","px520407_phenx_expectancies_tobacco",,"radio","When I'm angry, a cigarette can calm me down.","0,Completely Unlikely|1,Extremely Unlikely|2,Very Unlikely|3,Somewhat Unlikely|4,A Little Unlikely|5,A Little Likely|6,Somewhat Likely|7,Very Likely|8,Extremely Likely|9,Completely Likely","PX520407",,,,,,,,,,"",""
"expectancies_tobacco_pass_time_alone","px520407_phenx_expectancies_tobacco",,"radio","When I'm alone, a cigarette can help me pass the time.","0,Completely Unlikely|1,Extremely Unlikely|2,Very Unlikely|3,Somewhat Unlikely|4,A Little Unlikely|5,A Little Likely|6,Somewhat Likely|7,Very Likely|8,Extremely Likely|9,Completely Likely","PX520407",,,,,,,,,,"",""
"expectancies_tobacco_energizing","px520407_phenx_expectancies_tobacco",,"radio","Smoking a cigarette energizes me.","0,Completely Unlikely|1,Extremely Unlikely|2,Very Unlikely|3,Somewhat Unlikely|4,A Little Unlikely|5,A Little Likely|6,Somewhat Likely|7,Very Likely|8,Extremely Likely|9,Completely Likely","PX520407",,,,,,,,,,"",""
"expectancies_tobacco_calm_nervousness","px520407_phenx_expectancies_tobacco",,"radio","Smoking calms me down when I feel nervous.","0,Completely Unlikely|1,Extremely Unlikely|2,Very Unlikely|3,Somewhat Unlikely|4,A Little Unlikely|5,A Little Likely|6,Somewhat Likely|7,Very Likely|8,Extremely Likely|9,Completely Likely","PX520407",,,,,,,,,,"",""
"expectancies_tobacco_energizing_boredom","px520407_phenx_expectancies_tobacco",,"radio","A cigarette can give me energy when I'm bored and tired.","0,Completely Unlikely|1,Extremely Unlikely|2,Very Unlikely|3,Somewhat Unlikely|4,A Little Unlikely|5,A Little Likely|6,Somewhat Likely|7,Very Likely|8,Extremely Likely|9,Completely Likely","PX520407",,,,,,,,,,"",""
"expectancies_tobacco_enjoy_flavor","px520407_phenx_expectancies_tobacco",,"radio","I will enjoy the flavor of a cigarette.","0,Completely Unlikely|1,Extremely Unlikely|2,Very Unlikely|3,Somewhat Unlikely|4,A Little Unlikely|5,A Little Likely|6,Somewhat Likely|7,Very Likely|8,Extremely Likely|9,Completely Likely","PX520407",,,,,,,,,,"",""
"expectancies_tobacco_pass_time","px520407_phenx_expectancies_tobacco",,"radio","If I have nothing to do, a smoke can help kill time.","0,Completely Unlikely|1,Extremely Unlikely|2,Very Unlikely|3,Somewhat Unlikely|4,A Little Unlikely|5,A Little Likely|6,Somewhat Likely|7,Very Likely|8,Extremely Likely|9,Completely Likely","PX520407",,,,,,,,,,"",""
"expectancies_tobacco_taste_pleasant","px520407_phenx_expectancies_tobacco",,"radio","When I smoke, the taste is pleasant.","0,Completely Unlikely|1,Extremely Unlikely|2,Very Unlikely|3,Somewhat Unlikely|4,A Little Unlikely|5,A Little Likely|6,Somewhat Likely|7,Very Likely|8,Extremely Likely|9,Completely Likely","PX520407",,,,,,,,,,"",""
"expectancies_tobacco_satisfy_cravings","px520407_phenx_expectancies_tobacco",,"radio","Smoking will satisfy my nicotine cravings.","0,Completely Unlikely|1,Extremely Unlikely|2,Very Unlikely|3,Somewhat Unlikely|4,A Little Unlikely|5,A Little Likely|6,Somewhat Likely|7,Very Likely|8,Extremely Likely|9,Completely Likely","PX520407",,,,,,,,,,"",""
"expectancies_tobacco_feel_included","px520407_phenx_expectancies_tobacco",,"radio","I feel like part of a group when I'm around other smokers.","0,Completely Unlikely|1,Extremely Unlikely|2,Very Unlikely|3,Somewhat Unlikely|4,A Little Unlikely|5,A Little Likely|6,Somewhat Likely|7,Very Likely|8,Extremely Likely|9,Completely Likely","PX520407",,,,,,,,,,"",""
"expectancies_tobacco_less_attractive","px520407_phenx_expectancies_tobacco",,"radio","Smoking makes me seem less attractive.","0,Completely Unlikely|1,Extremely Unlikely|2,Very Unlikely|3,Somewhat Unlikely|4,A Little Unlikely|5,A Little Likely|6,Somewhat Likely|7,Very Likely|8,Extremely Likely|9,Completely Likely","PX520407",,,,,,,,,,"",""
"expectancies_tobacco_risk_cancer","px520407_phenx_expectancies_tobacco",,"radio","By smoking, I risk heart disease and lung cancer.","0,Completely Unlikely|1,Extremely Unlikely|2,Very Unlikely|3,Somewhat Unlikely|4,A Little Unlikely|5,A Little Likely|6,Somewhat Likely|7,Very Likely|8,Extremely Likely|9,Completely Likely","PX520407",,,,,,,,,,"",""
"expectancies_tobacco_enjoy_people","px520407_phenx_expectancies_tobacco",,"radio","Smoking helps me enjoy people more.","0,Completely Unlikely|1,Extremely Unlikely|2,Very Unlikely|3,Somewhat Unlikely|4,A Little Unlikely|5,A Little Likely|6,Somewhat Likely|7,Very Likely|8,Extremely Likely|9,Completely Likely","PX520407",,,,,,,,,,"",""
