"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_perception_of_recovery_orientation_and_care_quality_of_m_record_id","px661501_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"text","Record ID",,"PX661501",,,,,,,,,,"",
"recovery_selfassessment_administrator_welcoming_staff","px661501_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff make a concerted effort to welcome people in recovery and help them to feel comfortable in this program. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661501",,,,,,,,,,"",""
"recovery_selfassessment_administrator_facilities","px661501_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","This program/agency offers an inviting and dignified physical environment (e.g., the lobby, waiting rooms, etc.). Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661501",,,,,,,,,,"",""
"recovery_selfassessment_administrator_encouragement","px661501_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff encourage program participants to have hope and high expectations for their recovery. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661501",,,,,,,,,,"",""
"recovery_selfassessment_administrator_flexibility","px661501_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Program participants can change their clinician or case manager if they wish. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661501",,,,,,,,,,"",""
"recovery_selfassessment_administrator_treatment_records","px661501_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Program participants can easily access their treatment records if they wish. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661501",,,,,,,,,,"",""
"recovery_selfassessment_administrator_threats_bribes","px661501_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff do not use threats, bribes, or other forms of pressure to influence the behavior of program participants. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661501",,,,,,,,,,"",""
"recovery_selfassessment_administrator_staff_hopeful","px661501_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff believe in the ability of program participants to recover. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661501",,,,,,,,,,"",""
"recovery_selfassessment_administrator_symptoms","px661501_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff believe that program participants have the ability to manage their own symptoms. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661501",,,,,,,,,,"",""
"recovery_selfassessment_administrator_independence","px661501_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff believe that program participants can make their own life choices regarding things such as where to live, when to work, whom to be friends with, etc. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661501",,,,,,,,,,"",""
"recovery_selfassessment_administrator_decisions","px661501_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff listen to and respect the decisions that program participants make about their treatment and care. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661501",,,,,,,,,,"",""
