"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
long_covid_symptoms_neurology_headaches_record_id,px992003_long_covid_symptoms_neurology,,text,"Record ID",,PX992003,,,,,,,,,,,
long_covid_symptoms_neurology_headaches_related,px992003_long_covid_symptoms_neurology,Headaches,radio,"Have you experienced any new HEADACHES OR RELATED ISSUES since the start of your COVID-19 illness?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX992003,,,,,,,,,,,
long_covid_symptoms_neurology_headaches_symptoms,px992003_long_covid_symptoms_neurology,,checkbox,"Which of the following symptoms have you experienced since the start of your COVID-19 illness?","UNDEFINED_CODE, Headaches, at the base of the skull | UNDEFINED_CODE_1, Headaches, in the temples | UNDEFINED_CODE_2, Headaches, behind the eyes | UNDEFINED_CODE_3, Headaches, diffuse (entire brain) | UNDEFINED_CODE_4, Headaches/pain after mental exertion | UNDEFINED_CODE_5, Headaches, other | UNDEFINED_CODE_6, Sensation of brain warmth ""on fire"" | UNDEFINED_CODE_7, Sensation of brain pressure | UNDEFINED_CODE_8, Migraines | UNDEFINED_CODE_9, Stiff neck | UNDEFINED_CODE_10, None of the above",PX992003,,,,,,,,,,,
long_covid_symptoms_neurology_headaches_symptoms_other,px992003_long_covid_symptoms_neurology,,text,"Headaches, other",,PX992003,,,,,"[long_covid_symptoms_neurology_headaches_symptoms(UNDEFINED_CODE_5)] = '1'",,,,,,
long_covid_symptoms_neurology_experience_headache_symptoms,px992003_long_covid_symptoms_neurology,,checkbox,"When did you experience these symptoms? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. Headaches and related symptoms:","UNDEFINED_CODE, Week 1 | UNDEFINED_CODE_1, Week 2 | UNDEFINED_CODE_2, Week 3 | UNDEFINED_CODE_3, Week 4 | UNDEFINED_CODE_4, Month 2 | UNDEFINED_CODE_5, Month 3 | UNDEFINED_CODE_6, Month 4 | UNDEFINED_CODE_7, Month 5 | UNDEFINED_CODE_8, Month 6 | UNDEFINED_CODE_9, Month 7",PX992003,,,,,,,,,,,
long_covid_symptoms_neurology_smell_taste_changes,px992003_long_covid_symptoms_neurology,"Sense of Smell and Taste",radio,"Have you experienced any changes to your SENSE OF SMELL OR TASTE since the start of your COVID-19 illness?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX992003,,,,,,,,,,,
long_covid_symptoms_neurology_smell_taste_symptoms,px992003_long_covid_symptoms_neurology,,checkbox,"Which of the following symptoms have you experienced since the start of your COVID-19 illness?","UNDEFINED_CODE, Loss of smell|UNDEFINED_CODE_1, Phantom smells (imagining/hallucinating smells - smelling things that aren't there)|UNDEFINED_CODE_2, Heightened sense of smell|UNDEFINED_CODE_3, Altered sense of smell|UNDEFINED_CODE_4, Loss of taste|UNDEFINED_CODE_5, Phantom taste (imagining/hallucinating tastes - tasting things when there's nothing in your mouth|UNDEFINED_CODE_6, Heightened sense of taste|UNDEFINED_CODE_7, Altered sense of taste|UNDEFINED_CODE_8, None of the above",PX992003,,,,,,,,,,,
long_covid_symptoms_neurology_experience_smell_taste_symptoms,px992003_long_covid_symptoms_neurology,,checkbox,"When did you experience these symptoms? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. Changes to sense of smell and taste","UNDEFINED_CODE, Week 1 | UNDEFINED_CODE_1, Week 2 | UNDEFINED_CODE_2, Week 3 | UNDEFINED_CODE_3, Week 4 | UNDEFINED_CODE_4, Month 2 | UNDEFINED_CODE_5, Month 3 | UNDEFINED_CODE_6, Month 4 | UNDEFINED_CODE_7, Month 5 | UNDEFINED_CODE_8, Month 6 | UNDEFINED_CODE_9, Month 7",PX992003,,,,,,,,,,,
long_covid_symptoms_neurology_phantom_taste,px992003_long_covid_symptoms_neurology,,text,"If you had phantom tastes, please describe them:",,PX992003,,,,,"[long_covid_symptoms_neurology_smell_taste_symptoms(UNDEFINED_CODE_5)] = '1'",,,,,,
long_covid_symptoms_neurology_phantom_smells,px992003_long_covid_symptoms_neurology,,text,"If you had phantom smells, please describe them:",,PX992003,,,,,"[long_covid_symptoms_neurology_smell_taste_symptoms(UNDEFINED_CODE_1)] = '1'",,,,,,
